rank,title,price,price_num,link,timestamp
1,[8월올영픽/31억장 돌파] 메디힐 에센셜 마스크팩 10/10+1매 7종 택1,"9,950원 ~",9950.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223414&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=1,2025-08-13T02:52:59.456184+09:00
2,[재구매1위/장벽크림] 일리윤 세라마이드아토 집중크림 150ML*2,"18,900원",18900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217767&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=2,2025-08-13T02:52:59.476164+09:00
3,쏘내추럴 올 데이 메이크업 픽서 더블기획 (120ml+120ml),"29,930원",29930.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162114&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=3,2025-08-13T02:52:59.515825+09:00
4,[쓰까르3일마켓] [리뷰이벤트/크림본품증정] 메디큐브 에이지알 부스터프로 미니플러스 베이지/핑크,"107,500원 ~",107500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231154&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=4,2025-08-13T02:52:59.572476+09:00
5,"마르시끄 링클 리페어 주름패치 5종 택 1 (미간,팔자,이마,넥,아이)","11,210원 ~",11210.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000181697&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=5,2025-08-13T02:52:59.626045+09:00
6,[8월 올영픽/가나디 콜라보] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 가나디 기획 (+인형키링),"25,900원",25900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230834&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=6,2025-08-13T02:52:59.675988+09:00
7,[63관왕/200매] 메디힐 네모패드 100+100매 더블기획 8종 골라담기,"28,900원 ~",28900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171427&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=7,2025-08-13T02:52:59.730689+09:00
8,[올영픽/1+1/모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블 기획(+아쿠아겔 마스크 1매),"21,500원",21500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230915&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=8,2025-08-13T02:52:59.783883+09:00
9,[천만돌파/1+1] 비플레인 녹두 약산성 클렌징폼 160ml+160ml 기획,"23,500원",23500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000222605&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=9,2025-08-13T02:52:59.834378+09:00
10,[8월 펀딩][당0g대] 크런틴 크런치볼 단백질쉐이크 초코이즈백 3box(15팩),"57,900원",57900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000227402&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=10,2025-08-13T02:52:59.876960+09:00
11,[7일특가/좌두pick] 마미케어 바다포도 모공앰플 50ml,"13,800원",13800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224295&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=11,2025-08-13T02:52:59.924534+09:00
12,[NEW] 아누아 TXA 나이아신 흔적 세럼 30ml 2입,"27,500원",27500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226201&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=12,2025-08-13T02:52:59.974051+09:00
13,[파격특가] 테이크핏 맥스 250ml 24입 4종 택1 (고소/초코/바나나/호박고구마),"19,900원 ~",19900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000231188&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=13,2025-08-13T02:53:00.024119+09:00
14,[푸디젠 PICK | 리뷰 이벤트] 구달 청귤 비타C 잡티케어 세럼 알파 50ml 리필 기획 (+크림 10ml),"28,500원",28500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230654&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=14,2025-08-13T02:53:00.073743+09:00
15,[8월 올영픽/NO.1 미스트세럼] 달바 퍼스트 스프레이 세럼 100ml 2개 기획,"32,900원",32900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000179685&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=15,2025-08-13T02:53:00.114994+09:00
16,"[3시간팩] 바이오던스 리얼 딥 마스크 7매 (콜라겐, 세라놀, 비타, 씨켈프)","28,900원 ~",28900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000221807&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=16,2025-08-13T02:53:00.166350+09:00
17,[꼬마마법사 레미 콜라보/100% 리뷰이벤트] 키스미 아이 블러 이펙트 틴트 3.5g 7종 (올영 단독 선론칭),"12,900원 ~",12900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000214282&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=17,2025-08-13T02:53:00.208007+09:00
18,[8월올영픽] 아비브 어성초 흔적 에센스 패드 클리어터치 140매 (70매+70매 리필),"26,600원",26600.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000219555&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=18,2025-08-13T02:53:00.255426+09:00
19,[4년연속1위/블랙헤드OUT] 마녀공장 퓨어 클렌징 오일 300ml 기획 (+25mlx2),"19,900원",19900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000199588&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=19,2025-08-13T02:53:00.301346+09:00
20,세노비스 밀크씨슬 120캡슐 (4개월분),"25,000원",25000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000129053&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=20,2025-08-13T02:53:00.345878+09:00
21,[NEW] 브링그린 티트리시카수딩크림플러스100ml (단품/2입),"19,800원 ~",19800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226553&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=21,2025-08-13T02:53:00.389510+09:00
22,[리뷰 이벤트] [아름송이 PICK] 릴리이브 그로우턴 탈모 브러쉬 앰플 100ml 기획 (+100ml 리필 증정),"39,800원",39800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218845&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=22,2025-08-13T02:53:00.440629+09:00
23,[8월 올영픽/하트거울증정] 이니스프리 레티놀 시카 흔적 앰플 30ml 더블 기획,"28,710원",28710.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230208&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=23,2025-08-13T02:53:00.487254+09:00
24,라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+히알루 B5 세럼 1.5ml*2 증정),"36,000원",36000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226997&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=24,2025-08-13T02:53:00.536884+09:00
25,[피지클렌징] 마몽드 어메이징 딥 민트 클렌징밤 90ml 기획 (+폼 30ml),"16,000원",16000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198831&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=25,2025-08-13T02:53:00.578683+09:00
26,[덱스 PICK] 오브제 내추럴 커버 로션 50g 단품/기획(+미니어처 10ml),"26,510원 ~",26510.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000204975&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=26,2025-08-13T02:53:00.598661+09:00
27,[3년 연속 1위] 어노브 딥 데미지 헤어 트리트먼트 EX 320ml 더블/듀오 기획 3종 택1,"29,800원 ~",29800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171423&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=27,2025-08-13T02:53:00.620495+09:00
28,[14년연속 1위] 메디힐 에센셜 마스크팩 1매 고기능 7종 택1,"1,000원 ~",1000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217620&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=28,2025-08-13T02:53:00.671342+09:00
29,수이사이 뷰티 클리어 파우더워시 산리오 콜라보 6종 택1,"19,440원 ~",19440.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230670&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=29,2025-08-13T02:53:00.705202+09:00
30,[1+1 더블기획] 라곰 셀럽 마이크로 수분 폼 클렌저 120ml x 2,"24,650원",24650.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230821&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=30,2025-08-13T02:53:00.760663+09:00
31,[단독특가] 푸드올로지 지중해 레몬버베나 500mg 60정 (1개월분),"38,100원",38100.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230972&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=31,2025-08-13T02:53:00.811933+09:00
32,[8월올영픽/Oiad x 어프어프 콜라보] 오아드 립티크 9종 단품/기획,"21,900원 ~",21900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000218834&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=32,2025-08-13T02:53:00.864261+09:00
33,[1+1/단독기획] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml 더블 기획,"22,900원",22900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211119&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=33,2025-08-13T02:53:00.914942+09:00
34,"[KBO 파우치 증정] 메디힐 네모패드 더블기획 3종 골라담기(마데카소사이드, PDRN, 티트리)(KBO 에디션)","28,900원 ~",28900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000231048&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=34,2025-08-13T02:53:00.960871+09:00
35,[8월 올영픽/가나디콜라보] 토리든 다이브인 저분자 히알루론산 수딩 크림 100ml 가나디 더블 기획 (+파우치 키링),"30,000원",30000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230832&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=35,2025-08-13T02:53:00.981243+09:00
36,[율리 PICK/5+1매 한정기획] 아이오페 레티놀 세럼 인 겔 마스크 기획,"23,600원",23600.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224510&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=36,2025-08-13T02:53:00.998545+09:00
37,[NEW/리뉴얼] 컬러그램 누디 블러 틴트 18 COLOR,"8,300원 ~",8300.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000230581&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=37,2025-08-13T02:53:01.019619+09:00
38,바이오더마 시카비오 포마드 100ml(리페어 리치 밤),"28,500원",28500.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000134691&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=38,2025-08-13T02:53:01.063726+09:00
39,[25ml 추가증정] 휩드 비건 팩클렌저 130g 기획 3종 (머그트리/무화버터/유자몽),"19,700원 ~",19700.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000217511&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=39,2025-08-13T02:53:01.107768+09:00
40,[파격특가] 피지오겔 시카밸런스 포맨 카밍 크림 70ml,"9,900원",9900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211188&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=40,2025-08-13T02:53:01.164049+09:00
41,[1+1한정기획/열감진정] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매 더블기획 (본품+본품),"26,900원",26900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224932&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=41,2025-08-13T02:53:01.219256+09:00
42,포뷰트 두피 타투15g 블랙 (+추영우 포토카드 증정 이벤트),"16,800원",16800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000223552&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=42,2025-08-13T02:53:01.270763+09:00
43,[3년연속1등] 라보에이치 두피강화샴푸 750+125ML(단품/기획),"25,900원 ~",25900.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000149501&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=43,2025-08-13T02:53:01.310177+09:00
44,바이오더마 센시비오 H2O 850ml(클렌징워터),"24,610원",24610.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130319&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=44,2025-08-13T02:53:01.361551+09:00
45,[산리오캐릭터즈] 롬앤 더 쥬시 래스팅 틴트 (+쉐이킹키링증정) 단품/기획,"13,000원 ~",13000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213153&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=45,2025-08-13T02:53:01.409247+09:00
46,[올영픽/피지아웃/화잘먹 수분천재세럼] 에스네이처 아쿠아 스쿠알란 세럼 50ml 기획(+50ml 리필+수분크림10ml),"21,700원",21700.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188004&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=46,2025-08-13T02:53:01.461760+09:00
47,[유시은pick/1등홈경락템] 마미케어 EMS브이쎄라 (화이트/핑크/NEW 퍼플에디션) (+전용 부스팅젤 본품 증정),"99,000원 ~",99000.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000224350&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=47,2025-08-13T02:53:01.505969+09:00
48,[8월 올영픽]오브제 포어 제로 오일 컨트롤 선스틱 18g,"17,800원",17800.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000225044&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=48,2025-08-13T02:53:01.564129+09:00
49,플라이밀 단백질쉐이크 45g 9종 택1,"2,970원 ~",2970.0,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000190168&dispCatNo=90000010009&trackingCd=Best_Sellingbest&t_page=랭킹&t_click=판매랭킹_전체_상품상세&t_number=49,2025-08-13T02:53:01.617090+09:00
